79x6k3xk55rnp8snuyzpvpyc65tomky7;<span class="tone4">块</span>,  <span class="tone4">块</span><span class="tone2">钱</span>;<span class="tone4">kuài</span>,  <span class="tone4">kuài</span><span class="tone2">qián</span>;basiseenheid van de Chinese munt (gesproken taal);[sound:kuai4kuai4qian2.mp3];;jaar2 week208 les10
j0juseaqjitepvkjz8imjes38354okut;<span class="tone2">毛</span>,  <span class="tone2">毛</span><span class="tone2">钱</span>;<span class="tone2">máo</span>,  <span class="tone2">máo</span><span class="tone2">qián</span>;een 10de van een 块 (gesproken taal);[sound:mao2mao2qian2.mp3];;jaar2 week208 les10
tes4d48bmemuihhz8wvny2ysqmzdjtri;<span class="tone4">贵</span>;<span class="tone4">guì</span>;duur;[sound:gui4.mp3];;jaar1 week111 jaar2 les10
zrqnn70xqjfba8mtuqcdkg3qoaxehcs6;<span class="tone4">做</span>;<span class="tone4">zuò</span>;doen, maken;[sound:zuo4.mp3];;jaar1 week112 les08 jaar2 les10
04047pr7l304ubf5rkuhem7udiba3gbo;<span class="tone1">分</span>,  <span class="tone1">分</span><span class="tone2">钱</span>;<span class="tone1">fēn</span>,  <span class="tone1">fēn</span><span class="tone2">qián</span>;een 10de van een 毛 of 角;[sound:fen1fen1qian2.mp3];;jaar2 week208 les10
ittp8qz5198f63eli1pyuxv69bfwc191;<span class="tone4">送</span>;<span class="tone4">sòng</span>;schenken;[sound:song4.mp3];;jaar2 les10
k55c8lcqzg06igqo74zhoipnav6oitz9;<span class="tone3">给</span>;<span class="tone3">gěi</span>;geven;[sound:gei3.mp3];;jaar2 les10 les12
rcaw208ndokvzupfrqsniy3js3zlqmtw;<span class="tone3">找</span><span class="tone2">钱</span>;<span class="tone3">zhǎo</span><span class="tone2">qián</span>;wisselgeld geven;[sound:zhao3qian2.mp3];;jaar2 week209 les10
stgqj0b23jtxxhutrlikcl03s16ra1uh;<span class="tone2">元</span>;<span class="tone2">yuán</span>;basiseenheid van de Chinese munt (geschreven taal en in het zuiden);[sound:yuan2.mp3];;jaar2 week208 les10 jaar3 les15
0bt42rjicrreh7jner5ap527vpy8sigw;<span class="tone3">笔</span>;<span class="tone3">bǐ</span>;pen;[sound:bi3.mp3];;jaar1 week125 jaar2 les10
htzzffgcc3hw15tlhr9kprky9mjw4ibs;<span class="tone1">支</span>;<span class="tone1">zhī</span>;(maatwoord voor pennen, sigaretten, etc...);[sound:zhi1.mp3];;jaar1 week125 jaar2 week205 week208 les10
oilt0qqavyw3685w7mxrt408j1pb7f0p;<span class="tone4">份</span>;<span class="tone4">fèn</span>;(maatwoord voor publicaties, kranten, tijdschriften, etc...);[sound:fen4.mp3];;jaar2 les10
r3j5yozhksbvrbgtnw2cuszos4lcbf56;<span class="tone3">本</span>;<span class="tone3">běn</span>;(maatwoord voor boeken);[sound:ben3.mp3];;jaar1 week121 jaar2 les10
eczkynw2xedx8ex0pllim8izo3usvbgg;<span class="tone1">杯</span>;<span class="tone1">bēi</span>;glas, tas (maatwoord);[sound:bei1.mp3];;jaar1 week121 week122 week125 week126 jaar2 week205 les10
2fbmg5cbkytknyv5kya816nxmlf13yf6;<span class="tone4">卖</span><span class="tone1">东</span><span class="tone5">西</span><span class="tone5">的</span><span class="tone2">人</span>, <span class="tone4">售</span><span class="tone4">货</span><span class="tone2">员</span>;<span class="tone4">mài</span><span class="tone1">dōng</span><span class="tone5">xi</span><span class="tone5">de</span><span class="tone2">rén</span>, <span class="tone4">shòu</span><span class="tone4">huò</span><span class="tone2">yuán</span>;verkoper;[sound:mai4dong1xi5de5ren2shou4huo4yuan2.mp3];;jaar1 week124 jaar2 week208 les10 jaar3 week314
khxq6skjbpszbw8bwfuoum2xu2fqs3o5;<span class="tone4">作</span><span class="tone1">家</span>;<span class="tone4">zuò</span><span class="tone1">jiā</span>;schrijver;[sound:zuo4jia1.mp3];;jaar2 les10
eufx5ufmf6aw67qnqrj832lsitzie4bf;<span class="tone4">便</span><span class="tone5">宜</span>;<span class="tone4">piàn</span><span class="tone5">yi</span>;goedkoop;[sound:pian4yi5.mp3];;jaar2 week209 les10
pis78dkaczixsqzrvw7nfxtw7tmrzgoq;<span class="tone1">书</span><span class="tone4">店</span>;<span class="tone1">shū</span><span class="tone4">diàn</span>;boekenwinkel;[sound:shu1dian4.mp3];;jaar2 week208 les10
so84323qa6g5m7ygw1uuqy33ji7pzjpw;<span class="tone3">体</span><span class="tone4">育</span><span class="tone3">馆</span>;<span class="tone3">tǐ</span><span class="tone4">yù</span><span class="tone3">guǎn</span>;gym;[sound:ti3yu4guan3.mp3];;jaar2 les10
4by64ecyydhnqiq6fgbc5616165bfdqn;<span class="tone4">卖</span>;<span class="tone4">mài</span>;verkopen;[sound:mai4.mp3];;jaar1 week120 jaar2 week208 les10
