2ply8ff0s6cmh9rtn8mqaeo0arl3cv6n;<span class="tone3">你</span><span class="tone3">好</span>, <span class="tone4">喂</span>;<span class="tone3">nǐ</span><span class="tone3">hǎo</span>, <span class="tone4">wèi</span>;hallo;[sound:ni3hao3wei4.mp3];;jaar1 week101 jaar2 les13
ry55o7jgzfbd49d2lasmw7u2vsb2fh6d;<span class="tone4">位</span>;<span class="tone4">wèi</span>;(maatwoord voor persoon);[sound:wei4.mp3];;jaar2 les13
iii4lthn88c61oeiqmh0ayr0vqx1725s;<span class="tone1">经</span><span class="tone3">理</span>;<span class="tone1">jīng</span><span class="tone3">lǐ</span>;manager;[sound:jing1li3.mp3];;jaar1 week120 week124 jaar2 les13
abmwyc35qfe0ayigj1npgtt19v18yb2g;<span class="tone3">可</span><span class="tone2">能</span>;<span class="tone3">kě</span><span class="tone2">néng</span>;misschien;[sound:ke3neng2.mp3];;jaar1 week119 jaar2 les13
7w1gozv0c23h743pa3w76ftb8y5ttatr;<span class="tone1">吃</span><span class="tone4">饭</span>;<span class="tone1">chī</span><span class="tone4">fàn</span>;het eten van rijst, eten;[sound:chi1fan4.mp3];;jaar1 week112 week116 jaar2 les11 les13
xo8kt5m9xe4ixx5y5qsiqgnefsunaycx;<span class="tone4">饭</span>;<span class="tone4">fàn</span>;eten, voedsel;[sound:fan4.mp3];;jaar2 les13
upeauvsaq9c86s1oyoxx39oaw5rui5at;<span class="tone3">等</span>;<span class="tone3">děng</span>;wachten, wachten op;[sound:deng3.mp3];;jaar2 week214 les13
wkhjcsv0bnbrn947tnqa3fybfqlu8vgx;<span class="tone4">客</span><span class="tone1">厅</span>;<span class="tone4">kè</span><span class="tone1">tīng</span>;woonkamer;[sound:ke4ting1.mp3];;jaar2 week219 les13
17hqxmfjh2iq17m1ctehb1ee96twefws;<span class="tone4">卧</span><span class="tone4">室</span>;<span class="tone4">wò</span><span class="tone4">shì</span>;slaapkamer;[sound:wo4shi4.mp3];;jaar2 week219 les13
nnwkmp6o7nkn18y5quwugt9chysvozyi;<span class="tone1">书</span><span class="tone2">房</span>;<span class="tone1">shū</span><span class="tone2">fáng</span>;bureau;[sound:shu1fang2.mp3];;jaar2 week219 les13
ho3y7ood6d4ccsw2rzugvtcf97ht3z9j;<span class="tone4">套</span>;<span class="tone4">tào</span>;(maatwoord voor woningen);[sound:tao4.mp3];;jaar2 week220 les13
ehprnv5dxhju0m7qfl82cmvak67wfcwr;<span class="tone1">方</span><span class="tone4">便</span>;<span class="tone1">fāng</span><span class="tone4">biàn</span>;handig, gemakkelijk;[sound:fang1bian4.mp3];;jaar2 les13
rcju8y5uhp59erefwtgxsb6rpwy5uvj3;<span class="tone3">巧</span>;<span class="tone3">qiǎo</span>;toevallig;[sound:qiao3.mp3];;jaar2 les13
b0rbkw5j4i7wag3jfvz2qpvn3d2e2ev6;<span class="tone2">合</span><span class="tone4">适</span>;<span class="tone2">hé</span><span class="tone4">shì</span>;geschikt;[sound:he2shi4.mp3];;jaar2 les13
m920lpw4z4mpwqnbu793zm0fwsom1olz;<span class="tone4">热</span><span class="tone1">心</span>;<span class="tone4">rè</span><span class="tone1">xīn</span>;enthousiast;[sound:re4xin1.mp3];;jaar2 les13
kam1eyw6i8x8rpo8jgnkykxa8uy5ualb;<span class="tone1">包</span><span class="tone4">括</span>;<span class="tone1">bāo</span><span class="tone4">kuò</span>;inclusief, inbegrepen zijn;[sound:bao1kuo4.mp3];;jaar2 week220 les13
3rp9bw9ycpz5sl4sxf9gcx5ofw6oxuvv;<span class="tone3">水</span><span class="tone4">电</span><span class="tone4">费</span>;<span class="tone3">shuǐ</span><span class="tone4">diàn</span><span class="tone4">fèi</span>;nutsvoorziening;[sound:shui3dian4fei4.mp3];;jaar2 les13
am5koaesv06akh3pivqpz2ee24d1ngn6;<span class="tone1">新</span>;<span class="tone1">xīn</span>;nieuw;[sound:xin1.mp3];;jaar2 week201 les13 jaar3 les16
8t9njsut1yl2295fvcd0ms7zu350ozxw;<span class="tone2">回</span><span class="tone4">信</span>;<span class="tone2">huí</span><span class="tone4">xìn</span>;beantwoorden;[sound:hui2xin4.mp3];;jaar2 les13
