onhx4q1dmj3e9u0662ydcuanhsouaivw;<span class="tone2">玩</span>,  <span class="tone2">玩</span><span class="tone5">儿</span>;<span class="tone2">wán</span>,  <span class="tone2">wán</span><span class="tone5">r</span>;spelen, plezier maken, zich amuseren;[sound:wan2wan2r5.mp3];;jaar1 week108 week109 jaar2 les11
gl4dihsp43xveihs1y7j50b7soiiujtf;<span class="tone3">晚</span><span class="tone5">上</span>;<span class="tone3">wǎn</span><span class="tone5">shang</span>;avond, 's avonds;[sound:wan3shang5.mp3];;jaar1 week117 week123 jaar2 les09 les11
wysc8ua7bg6vme06xmy8z71jut4zxyoy;<span class="tone3">晚</span>;<span class="tone3">wǎn</span>;laat;[sound:wan3.mp3];ik ben te laat gekomen<br>我来晚了<br><br>;jaar1 week115 week117 les05 jaar2 les11
a7hv3n2hojmy3tpeshvmuxakov2zmeal;<span class="tone4">半</span>;<span class="tone4">bàn</span>;half;[sound:ban4.mp3];;jaar2 week206 les11
7c80ctav2b2njq40jy792u1ezl12dvxp;<span class="tone3">写</span>, <span class="tone3">写</span><span class="tone4">字</span>;<span class="tone3">xiě</span>, <span class="tone3">xiě</span><span class="tone4">zì</span>;schrijven;[sound:xie3xie3zi4.mp3];;jaar1 week107 week123 jaar2 les11
aypssfjcttiltbwyfqqgyd7lg6g6zf8m;<span class="tone4">汉</span><span class="tone5">子</span>;<span class="tone4">hàn</span><span class="tone5">zi</span>;Chinese tekens;[sound:han4zi5.mp3];;jaar2 les11
cwdaiia8bu8x671jfw8tnj01pkfdn57t;<span class="tone4">字</span>;<span class="tone4">zì</span>;teken;[sound:zi4.mp3];;jaar2 les11
ql8f6iot0srozkk5a6ga5pwmy3jcxk3o;<span class="tone4">睡</span><span class="tone4">觉</span>;<span class="tone4">shuì</span><span class="tone4">jiào</span>;het slapen van een slaapje, slapen;[sound:shui4jiao4.mp3];;jaar1 week115 week116 week117 jaar2 week206 les11
ox71hjmzrbydsqrf49y1qmgkv32jj12u;<span class="tone4">睡</span>;<span class="tone4">shuì</span>;slapen;[sound:shui4.mp3];;jaar2 les11
jpa87v5qc53g99rnnuaje8t1o9jfycgc;<span class="tone3">起</span><span class="tone2">床</span>;<span class="tone3">qǐ</span><span class="tone2">chuáng</span>;het opstaan uit bed, opstaan;[sound:qi3chuang2.mp3];;jaar2 week206 week211 les11
hr2cvaq0d8eqpfgvz6eic6ylsldntokr;<span class="tone3">起</span>;<span class="tone3">qǐ</span>;opstaan;[sound:qi3.mp3];;jaar2 les11
zyn69x52hd5wdc18ziua9c1by4ezhhqe;<span class="tone2">床</span>;<span class="tone2">chuáng</span>;bed;[sound:chuang2.mp3];;jaar2 week224 les11
0hfvfgjvvalaqj89l5qzhfvnzaz8ustt;<span class="tone1">应</span><span class="tone1">该</span>, <span class="tone1">该</span>;<span class="tone1">yīng</span><span class="tone1">gāi</span>, <span class="tone1">gāi</span>;zou moeten (advies, raad);[sound:ying1gai1gai1.mp3];<br><br>该我换钱了;jaar2 week212 les11 jaar3 les15
ksyh19vc6f9gpl7dyjt8zetkrmawdvjj;<span class="tone4">问</span><span class="tone2">题</span>;<span class="tone4">wèn</span><span class="tone2">tí</span>;vraag, probleem;[sound:wen4ti2.mp3];;jaar1 week119 jaar2 les11
s2z8m0t0tl8s6fs9ywr39juqoao91y1t;<span class="tone3">可</span><span class="tone3">以</span>;<span class="tone3">kě</span><span class="tone3">yǐ</span>;kunnen, mogen (iets dat toegelaten is);[sound:ke3yi3.mp3];;jaar1 week111 les04 jaar2 week211 week212 les11
l8gishdes23fak7u005lkg23xteecmrp;<span class="tone2">陈</span>;<span class="tone2">chén</span>;(Chinese familienaam);[sound:chen2.mp3];;jaar1 week109 jaar2 les11
